Customer ID,Priority Score,Priority Label,Rules Fired Count,Age,Balance
customer_12,90.00,high,6,36,9374
customer_31,80.00,high,5,41,5935
customer_2,65.00,high,5,35,1350
customer_10,65.00,high,4,39,9374
customer_20,65.00,high,5,40,619
customer_23,65.00,high,5,31,N/A
customer_29,65.00,high,5,32,N/A
customer_42,65.00,high,5,36,N/A
customer_48,65.00,high,5,45,N/A
customer_54,65.00,high,5,31,1730
customer_15,60.00,high,6,40,194
customer_6,57.00,high,4,36,747
customer_17,55.00,high,4,37,2317
customer_11,50.00,high,4,43,2648
customer_25,45.00,medium,3,29,N/A
customer_36,45.00,medium,4,50,184
customer_35,43.00,medium,3,44,N/A
customer_41,43.00,medium,3,39,1432
customer_1,40.00,medium,3,33,4789
customer_3,40.00,medium,4,30,1476
customer_5,40.00,medium,3,35,747
customer_14,40.00,medium,3,31,360
customer_24,40.00,medium,3,25,N/A
customer_27,40.00,medium,3,45,184
customer_32,40.00,medium,3,45,N/A
customer_50,40.00,medium,3,41,N/A
customer_51,40.00,medium,3,42,529
customer_21,35.00,medium,3,56,N/A
customer_49,33.00,medium,3,59,N/A
customer_43,30.00,medium,3,52,745
customer_0,28.00,medium,2,30,1787
customer_7,28.00,medium,2,39,N/A
customer_8,28.00,medium,2,41,N/A
customer_22,28.00,medium,2,37,N/A
customer_26,28.00,medium,2,35,747
customer_28,28.00,medium,2,35,N/A
customer_33,28.00,medium,2,36,N/A
customer_34,28.00,medium,2,37,N/A
customer_38,28.00,medium,2,32,N/A
customer_45,28.00,medium,2,32,-46
customer_47,28.00,medium,2,40,N/A
customer_52,28.00,medium,2,29,N/A
customer_4,23.00,low,2,59,N/A
customer_9,20.00,low,1,43,-88
customer_18,20.00,low,1,25,-149.18
customer_19,20.00,low,1,31,177
customer_30,20.00,low,2,58,121
customer_37,20.00,low,2,47,N/A
customer_39,20.00,low,2,59,N/A
customer_40,20.00,low,2,54,1291
